File_Record_0052.rec ( 4370 Samples/channels ) Sample Rate :1s
Date :5/20/2026 10:16:45 AM
Time;Voie A1[°C];Voie A2[°C];Voie A3[°C];
141000.000000;36.42273;48.53821;49.65210;
142000.000000;36.33118;48.55347;49.43848;
143000.000000;36.66687;48.43140;49.83521;
144000.000000;36.56006;48.21777;49.91150;
145000.000000;36.68213;48.69080;49.89624;
146000.000000;36.81946;48.09570;49.95728;
147000.000000;36.69739;48.29407;49.56055;
148000.000000;36.42273;48.32458;49.37744;
149000.000000;36.78894;48.61450;49.42322;
150000.000000;36.89575;48.70605;49.60632;
151000.000000;37.00256;48.61450;49.37744;
152000.000000;36.92627;48.37036;49.74365;
153000.000000;36.92627;48.70605;49.62158;
154000.000000;36.89575;48.75183;49.74365;
155000.000000;36.81946;48.49243;49.95728;
156000.000000;36.46851;48.20251;49.85046;
157000.000000;36.72791;48.53821;49.74365;
158000.000000;36.80420;48.52295;49.86572;
159000.000000;36.75842;48.33984;49.98779;
160000.000000;37.00256;48.38562;50.43030;
161000.000000;36.84998;48.56873;50.27771;
162000.000000;36.60583;48.53821;50.26245;
163000.000000;36.60583;48.29407;50.21667;
164000.000000;36.71265;48.35510;50.12512;
165000.000000;36.72791;48.46191;49.85046;
166000.000000;36.57532;48.66028;49.92676;
167000.000000;36.43799;48.93494;49.69788;
168000.000000;36.27014;49.01123;49.59106;
169000.000000;36.36169;49.08752;49.59106;
170000.000000;36.33118;48.95020;49.63684;
171000.000000;36.39221;49.30115;49.69788;
172000.000000;36.20911;49.33167;49.28589;
173000.000000;36.37695;49.57581;49.33167;
174000.000000;36.57532;49.27063;49.19434;
175000.000000;36.51428;48.91968;49.43848;
176000.000000;36.43799;48.85864;49.77417;
177000.000000;36.72791;48.49243;49.62158;
178000.000000;36.30066;48.35510;49.72839;
179000.000000;36.71265;48.52295;49.72839;
180000.000000;36.78894;48.58398;49.91150;
181000.000000;36.62109;48.24829;49.91150;
182000.000000;36.68213;48.49243;49.51477;
183000.000000;36.75842;48.46191;49.66736;
184000.000000;36.59058;49.04175;49.45374;
185000.000000;36.78894;49.17908;49.07227;
186000.000000;36.94153;49.14856;48.91968;
187000.000000;37.00256;49.40796;49.01123;
188000.000000;36.94153;49.49951;49.31641;
189000.000000;36.74316;49.56055;49.14856;
190000.000000;36.94153;49.69788;49.34692;
191000.000000;37.18567;49.97253;49.53003;
192000.000000;37.20093;49.81995;49.77417;
193000.000000;37.24670;49.40796;49.89624;
194000.000000;37.18567;49.08752;50.04883;
195000.000000;36.91101;48.91968;49.81995;
196000.000000;36.92627;48.79761;50.01831;
197000.000000;36.92627;48.73657;50.23193;
198000.000000;37.21619;48.93494;50.38452;
199000.000000;37.29248;49.13330;50.29297;
200000.000000;37.27722;49.28589;50.35400;
201000.000000;37.00256;49.07227;50.10986;
202000.000000;37.33826;49.13330;50.18616;
203000.000000;37.30774;49.02649;49.85046;
204000.000000;37.70447;49.36218;50.10986;
205000.000000;37.68921;49.20959;50.14038;
206000.000000;37.52136;48.84338;50.03357;
207000.000000;37.58240;48.81287;50.03357;
208000.000000;37.76550;49.13330;50.33875;
209000.000000;37.61292;49.14856;50.10986;
210000.000000;37.53662;49.14856;49.71313;
211000.000000;37.70447;49.60632;49.85046;
212000.000000;37.44507;49.27063;49.57581;
213000.000000;37.55188;49.10278;49.56055;
214000.000000;37.30774;49.08752;49.71313;
215000.000000;36.83472;48.70605;49.54529;
216000.000000;36.84998;48.90442;49.49951;
217000.000000;36.65161;48.64502;49.46899;
218000.000000;36.69739;48.81287;49.72839;
219000.000000;36.65161;48.69080;49.48425;
220000.000000;36.60583;48.62976;49.65210;
221000.000000;37.07886;48.82813;49.91150;
222000.000000;37.29248;48.78235;50.09460;
223000.000000;37.07886;48.46191;49.97253;
224000.000000;37.10938;48.41614;49.92676;
225000.000000;37.24670;48.70605;50.47607;
226000.000000;37.33826;48.62976;50.56763;
227000.000000;37.55188;48.84338;50.56763;
228000.000000;37.52136;48.50769;50.06409;
229000.000000;37.50610;48.70605;50.07935;
230000.000000;37.78076;48.78235;49.94202;
231000.000000;37.71973;48.90442;49.60632;
232000.000000;37.58240;49.01123;49.46899;
233000.000000;37.53662;49.24011;49.27063;
234000.000000;37.04834;49.11804;48.78235;
235000.000000;36.78894;49.31641;48.91968;
236000.000000;36.49902;49.57581;48.85864;
237000.000000;36.52954;49.40796;48.70605;
238000.000000;36.74316;49.49951;48.79761;
