File_Record_0047.rec ( 10403 Samples/channels ) Sample Rate :1s
Date :5/13/2026 11:08:35 AM
Time;Voie A1[°C];Voie A2[°C];
655000.000000;38.97095;31.70776;
656000.000000;38.89465;31.66199;
657000.000000;39.23035;31.98242;
658000.000000;39.03198;31.93665;
659000.000000;38.98621;31.81458;
660000.000000;39.10828;31.79932;
661000.000000;39.16931;31.92139;
662000.000000;39.07776;31.99768;
663000.000000;39.19983;32.18079;
664000.000000;38.95569;31.82983;
665000.000000;39.24561;32.04346;
666000.000000;39.30664;32.07397;
667000.000000;39.10828;32.01294;
668000.000000;39.41345;32.33337;
669000.000000;38.87939;31.99768;
670000.000000;39.29138;32.31812;
671000.000000;39.23035;32.18079;
672000.000000;39.29138;32.24182;
673000.000000;39.45923;32.45544;
674000.000000;39.18457;32.15027;
675000.000000;39.06250;32.21130;
676000.000000;39.47449;32.44019;
677000.000000;39.36768;32.53174;
678000.000000;39.27612;32.47070;
679000.000000;39.39819;32.51648;
680000.000000;39.24561;32.59277;
681000.000000;39.18457;32.27234;
682000.000000;39.26086;32.39441;
683000.000000;39.44397;32.57751;
684000.000000;39.35242;32.36389;
685000.000000;39.42871;32.63855;
686000.000000;39.32190;32.48596;
687000.000000;39.53552;32.79114;
688000.000000;39.38293;32.54700;
689000.000000;39.53552;32.69958;
690000.000000;39.64233;32.91321;
691000.000000;39.30664;32.63855;
692000.000000;39.27612;32.56226;
693000.000000;39.32190;32.94373;
694000.000000;39.52026;32.76062;
695000.000000;39.53552;33.02002;
696000.000000;39.58130;33.00476;
697000.000000;39.55078;33.08105;
698000.000000;39.44397;33.08105;
699000.000000;39.41345;33.03528;
700000.000000;39.44397;32.82166;
701000.000000;39.56604;33.03528;
702000.000000;39.47449;32.89795;
703000.000000;39.44397;33.02002;
704000.000000;39.74915;32.98950;
705000.000000;39.47449;33.03528;
706000.000000;39.47449;33.12683;
707000.000000;39.52026;33.11157;
708000.000000;39.52026;33.09631;
709000.000000;39.41345;33.20313;
710000.000000;39.48975;33.08105;
711000.000000;39.74915;33.12683;
712000.000000;39.68811;33.29468;
713000.000000;39.56604;33.05054;
714000.000000;39.55078;33.43201;
715000.000000;39.48975;33.11157;
716000.000000;39.44397;33.35571;
717000.000000;39.74915;33.41675;
718000.000000;39.71863;33.44727;
719000.000000;39.79492;33.58459;
720000.000000;39.58130;33.41675;
721000.000000;39.56604;33.30994;
722000.000000;39.85596;33.30994;
723000.000000;39.55078;33.41675;
724000.000000;39.77966;33.52356;
725000.000000;39.62708;33.50830;
726000.000000;39.50500;33.56934;
727000.000000;39.56604;33.63037;
728000.000000;39.59656;33.34045;
729000.000000;39.94751;33.49304;
730000.000000;39.64233;33.70667;
731000.000000;39.62708;33.55408;
732000.000000;39.68811;33.66089;
733000.000000;39.73389;33.69141;
734000.000000;39.70337;33.59985;
735000.000000;39.58130;33.53882;
736000.000000;39.62708;33.50830;
737000.000000;39.82544;33.63037;
738000.000000;39.67285;33.88977;
739000.000000;39.74915;33.70667;
740000.000000;39.68811;33.92029;
741000.000000;39.87122;33.67615;
742000.000000;40.00854;33.85925;
743000.000000;39.90173;33.88977;
744000.000000;39.68811;33.84399;
745000.000000;39.53552;33.92029;
746000.000000;39.99329;33.95081;
747000.000000;39.65759;34.02710;
748000.000000;39.71863;34.04236;
749000.000000;39.71863;34.25598;
750000.000000;39.61182;34.08813;
751000.000000;39.77966;34.21021;
752000.000000;40.08484;34.05762;
753000.000000;39.79492;34.22546;
754000.000000;39.76440;34.28650;
755000.000000;39.67285;34.39331;
756000.000000;39.67285;34.33228;
757000.000000;39.90173;34.34753;
758000.000000;40.03906;34.33228;
759000.000000;39.70337;34.30176;
760000.000000;39.96277;34.16443;
761000.000000;40.03906;34.11865;
762000.000000;40.08484;34.11865;
763000.000000;40.06958;34.28650;
764000.000000;40.05432;34.51538;
765000.000000;39.82544;34.36279;
766000.000000;39.94751;34.63745;
767000.000000;40.14587;34.46960;
768000.000000;40.13062;34.28650;
769000.000000;39.99329;34.34753;
770000.000000;40.19165;34.34753;
771000.000000;40.13062;34.65271;
772000.000000;39.97803;34.34753;
773000.000000;39.79492;34.68323;
774000.000000;40.14587;34.50012;
775000.000000;40.17639;34.54590;
776000.000000;40.20691;34.72900;
777000.000000;39.87122;34.80530;
778000.000000;40.26794;34.54590;
779000.000000;39.88647;34.92737;
780000.000000;40.20691;34.69849;
781000.000000;40.23743;34.51538;
782000.000000;40.19165;34.65271;
783000.000000;40.14587;34.79004;
784000.000000;39.97803;34.95789;
785000.000000;40.17639;34.79004;
786000.000000;40.02380;34.79004;
787000.000000;40.25269;34.79004;
788000.000000;40.00854;34.95789;
789000.000000;40.43579;34.83582;
790000.000000;40.08484;35.01892;
791000.000000;40.14587;34.83582;
792000.000000;40.11536;34.95789;
793000.000000;40.16113;35.14099;
794000.000000;40.37476;34.86633;
795000.000000;40.19165;35.09521;
796000.000000;40.00854;35.18677;
797000.000000;39.97803;35.32410;
798000.000000;40.19165;35.18677;
799000.000000;40.32898;35.11047;
800000.000000;40.32898;35.06470;
801000.000000;40.31372;35.23254;
802000.000000;40.06958;35.44617;
803000.000000;40.35950;35.06470;
804000.000000;40.19165;35.36987;
805000.000000;40.14587;35.33936;
806000.000000;40.42053;35.12573;
807000.000000;40.17639;35.24780;
808000.000000;40.28320;35.20203;
809000.000000;40.31372;35.20203;
810000.000000;40.19165;35.30884;
811000.000000;40.57312;35.06470;
812000.000000;40.48157;35.44617;
813000.000000;40.49683;35.40039;
